page,column,column_page,column_page_end,guessed,title,bold_ratio,first_line
7,left,13,,0,БААЛ,0.809,БААЛ
7,left,13,,0,"БАБ, Сейинд Али-Мохаммед",0.756,"БАБ, Сейинд Али-Мохаммед"
7,left,13,,0,БАБА ЗУННУН,0.819,"БАБА ЗУННУН,"
7,left,13,,0,БАБА ИСХАКА ВОССТАНИЕ,0.818,БАБА ИСХАКА ВОССТАНИЕ
7,right,14,,0,БАБАХАНЯН,0.825,"БАБАХАНЯН,"
7,right,14,,0,БАБЕКА ВОССТАНИЕ,0.818,БАБЕКА ВОССТАНИЕ
7,right,14,,0,БАБЕМБА,0.827,"БАБЕМБА,"
7,left,13,,0,ВААС,0.778,БААС-—см.
7,left,13,,0,БААЛЬБЕК,0.81,БААЛЬБЕК
7,right,14,,0,"БАБЕК, Папак",0.785,"БАБЕК, Папак"
8,left,15,15,0,БАБЕНБЬЕРГИ,0.819,БАБЕНБЕРГИ
8,left,15,17,0,"БАБЕФ, Гракх",0.773,"БАБЕФ (Варбеи!), Гракх"
9,left,17,18,0,БАБИДСКИЕ ВОССТАНИЯ,0.823,БАБИДСКИЕ ВОССТАНИЯ
9,right,18,,0,БАБИЗМ,0.823,БАБИЗМ
10,left,19,19,0,"БАБИНГЕР, Франц",0.791,"БАБИНГЕР (ВаЫтеег), Франц"
10,left,19,19,0,БАБИНОВСКАЯ ДОРОГА,0.828,БАБИНОВСКАЯ ДОРОГА
10,left,19,20,0,"БАБСТ, Иван Кондратьевич",0.772,"БАБСТ, Иван Кондратьевич"
10,right,20,20,0,БАБУВИСТЫ,0.813,БАБУВИЙСТЫ
10,right,20,20,0,"БАБУР, Захиреддин",0.774,"БАБУР, Захиреддин"
10,right,20,21,0,«БАБУР-НАМЭ»,0.799,«БАБУР-НАМ?»-
11,left,21,21,0,"БАБУШКИН, Ефим Адрианович",0.802,"БАБУШКИН, Ефим Адрианович"
11,left,21,22,0,"БАБУШКИН, Иван Васильевич",0.8,"БАБУШКИН, Иван Васильевич"
11,right,22,,0,БАВАРИЯ,0.83,БАВАРИЯ
13,left,25,,0,БАВАРСКАЯ ПРАВДА,0.824,БАВАРСКАЯ ПРАВДА
13,left,25,,0,БАВАРСКАЯ СОВЁТСКАЯ РЕСПУБЛИКА,0.82,БАВАРСКАЯ СОВЕТСКАЯ РЕСПУБЛИКА
13,right,26,,0,"БАВАРСКОЕ НАСЛЁДСТВО,",0.819,"БАВАРСКОЕ НАСЛЁДСТВО,"
14,left,27,,0,БАВАРЫ,0.833,БАВАРЫ
14,left,27,,0,БАГАЛЕЙ. Дмитрий Иванович,0.791,БАГАЛЁЕЙ. Дмитрий Иванович
14,right,28,,0,БАГАМЦЫ,0.836,БАГАМЦЫ
14,right,28,,0,БАГАНДА,0.826,БАГАНДА
14,right,28,,0,БАГАУДЫ,0.816,БАГАУДЫ
17,left,33,,0,БАГДАДСКИЙ ПАКТ,0.825,БАГДАДСКИЙ НАКТ
17,right,34,,0,БАГДАДСКИЙ ХАЛИФАТ,0.819,БАГДАДСКИЙ ХАЛИФАТ
17,right,34,,0,"БАГДАШ, Халед",0.802,"БАГДАШ, Халед"
17,right,34,,0,БАГИР-ХАН,0.834,БАГИР-ХАН
17,right,34,,0,БАГЛЕРЫ,0.83,БАГ.ЛЕРЫ
18,left,35,,0,БАГРАМ,0.821,"БАГРАМ,"
18,left,35,,0,БАГРАТ .,0.802,БАГРАТ .
18,right,36,,0,БАГРАТИДЫ,0.819,БАГРАТИДЫ
18,right,36,,0,"БАГРАТИОН, Петр Иванович",0.796,"БАГРАТИОН, Петр Иванович"
18,left,35,,0,БАГРАМЯН. Иван Х ристофорович,0.791,БАГРАМЯН. Иван Х ристофорович
18,left,35,,0,"БАГРАМЯН, Мовсес",0.804,"БАГРАМЯН, Мовсес"
19,left,37,,0,"БАГРАТИОНИ, Давид Георгиевич",0.799,"БАГРАТИОНИ, Давид Георгиевич"
19,left,37,,0,"БАГРОВ, Лев (Лео) Семенпович",0.776,"БАГРОВ, Лев (Лео) Семенпович"
19,right,38,,0,"БАДАЕВ, Алексей — Кгорович",0.776,"БАДАЕВ, Алексей — Кгорович"
19,right,38,,0,БАДАН СИНЕХ,0.834,БАДАН СИНГХ
19,right,38,,0,БАДАРИИСКАЯ КУЛЬТУРА,0.823,БАДАРИИСКАЯ КУЛЬТУРА
19,left,37,,0,БАГРАТИНОНЫ грузинские,0.807,БАГРАТИНОНЫ грузинские
20,left,39,,0,БАДЕН,0.811,БАДЕН
20,right,40,,0,"БАДЕНИН (ВаЧеп!), Казимир Феликс",0.764,"БАДЕНИН (ВаЧеп!), Казимир Феликс"
20,right,40,,0,БАДЕН-ПОУЭЛЛ,0.798,"БАДЕН-ПОУЭЛЛ,"
20,right,40,,0,БАДЕНСКАЯ КУЛЬТУРА,0.817,БАДЕНСКАЯ КУЛЬТУРА
20,right,40,,0,БАДЕНСКАЯ ШКОЛА,0.821,"БАДЕНСКАЯ ШКОЛА,"
20,left,39,,0,"БАДАХУНИ, Абд-ал ь-1‘ади р",0.79,"БАДАХУНИ, Абд-ал ь-1‘ади р"
21,left,41,,0,БАДЕНСКИЙ МИР 1714°,0.828,БАДЕНСКИЙ МИР 1714°
21,left,41,,0,БАДЕНСКО-ПФАЛЬЦСКОЕ ВОССТАНИЕ 1849-,0.818,БАДЕНСКО-ПФАЛЬЦСКОЕ ВОССТАНИЕ 1849-
21,left,41,,0,БАДЖИДО,0.828,БАДЖИЙДо
21,left,41,,0,"БАДЖИ РАО Т,",0.813,"БАДЖИ РАО Т,"
21,left,41,,0,"БАДОЛЬ0 (ВаЧог!По), Пьетро",0.777,"БАДОЛЬ0 (ВаЧог!По), Пьетро"
21,right,42,,0,"БАЗАР (Вахзаг{), Сент-Аман",0.758,"БАЗАР (Вахзаг{), Сент-Аман"
22,left,43,,0,БАЗАР-КАЛА,0.799,БАЗАР-КАЛА
22,left,43,,0,БАЗЕЛЬ,0.794,БАЗЕЛЬ
22,right,44,,0,БАЗЕЛЬСКИЙ ДоОГОВОР 1499,0.811,БАЗЕЛЬСКИЙ ДоОГОВОР 1499
22,right,44,,0,Бё:;в;;_;_‚ріііііі КОНГРЕСС 1-го,0.803,Бё:;в;;_;_‚ріііііі КОНГРЕСС 1-го
22,right,44,,0,БАЗЕЛЬСКИЙ КОНГРЕСС 2-го,0.815,БАЗЕЛЬСКИЙ КОНГРЕСС 2-го
22,right,44,,0,БАЗЕЛЬСКИЙ — МАНИФЕСТ 1912°,0.807,БАЗЕЛЬСКИЙ — МАНИФЕСТ 1912°
22,right,44,,0,БАЗЕЛЬСКИЙ СОБОР,0.821,БАЗЕЛЬСКИЙ СОоБОР
22,left,43,,0,БАЗКЕЛЬСКИЕ МИРНЫЕ — ДОГОВОРЫ 1795-,0.823,БАЗКЕЛЬСКИЕ МИРНЫЕ — ДОГОВОРЫ 1795-
23,left,45,,0,БАЗИЛЕВИЧ. Константин Васильевич °,0.785,БАЗИЛЕВИЧ. Константин Васильевич °
23,right,46,,0,"БАЗИЛИ, Константин Михайлович",0.776,"БАЗИЛИ, Константин Михайлович"
23,right,46,,0,"БАЙШЕВ, Сактаган Баишевич",0.791,"БАЙШЕВ, Сактаган Баишевич"
23,right,46,,0,"БАЙДУКОВ, Георгий Филиппович",0.788,"БАЙДУКОВ, Георгий Филиппович"
23,right,46,,0,БАЙЕР (Вауег). Готлиб Зигфрид _,0.762,БАЙЕР (Вауег). Готлиб Зигфрид _
23,left,45,,0,"БАЗЕН — (Вазатс), Ашиль Франсуа",0.762,"БАЗЕН — (Вазатс), Ашиль Франсуа"
23,left,45,,0,"БАЗЁН (Вазт), Тома",0.776,"БАЗЁН (Вазт), Тома"
